model_name,firmware_version,Datasheet download_link
Archer BE800 ,V1.60,https://static.tp-link.com/upload/product-overview/2023/202305/20230504/Archer BE800(EU)&(US)1.0_Datasheet.pdf
Archer AXE5400 ,V1.60,https://static.tp-link.com/upload/product-overview/2023/202305/20230508/Archer AXE5400(USW)1.0&1.6_Datasheet.pdf
Archer BE900 ,V1.60,https://static.tp-link.com/upload/product-overview/2023/202304/20230421/Archer BE900(EU)&(US)1.0_Datasheet.pdf
Archer BE9300 ,,https://static.tp-link.com/upload/product-overview/2023/202307/20230726/Archer BE9300 1.6_Datasheet.pdf
Archer BE550 ,V1.60,https://static.tp-link.com/upload/product-overview/2023/202307/20230703/Archer BE550 1.0_Datasheet.pdf
Archer AXE300 ,V1.60,https://static.tp-link.com/upload/product-overview/2022/202208/20220826/Archer AXE300(EU)&(US)1.0_Datasheet.pdf
Archer AXE95 ,V1.60,
Archer AXE75 ,V1.60,https://static.tp-link.com/upload/product-overview/2022/202201/20220121/Archer AXE75(EU&US)1.0_Datasheet.pdf
Archer AX10000 ,V2.6,https://static.tp-link.com/upload/product-overview/2023/202305/20230512/Archer AX10000(US) 2.6_Datasheet.pdf
Archer AX11000 ,V2.6,https://static.tp-link.com/upload/product-overview/2021/202107/20210730/Archer AX11000(EU&US)2.0_Datasheet.pdf
Archer GX90 ,V1.60,
Archer AX55 ,V4.6,https://static.tp-link.com/upload/product-overview/2023/202309/20230920/Archer AX55 4.0_Datasheet.pdf
Archer AX6000 ,V2.6,
Archer AX50 ,V1.80,
Archer AX10 ,V2.6,https://static.tp-link.com/upload/product-overview/2023/202305/20230511/Archer AX10(US)2.0_Datasheet.pdf
Archer AX3000 ,V2.6,
Archer AX21 ,V4.6,https://static.tp-link.com/upload/product-overview/2023/202305/20230530/Archer AX21(US) 4.6_Datasheet.pdf
Archer AX1500 ,V2.6,https://static.tp-link.com/upload/product-overview/2023/202305/20230511/Archer AX1500(USW)2.6_Datasheet.pdf
Archer AX1450 ,,https://static.tp-link.com/upload/product-overview/2023/202306/20230607/Archer AX1450(USW)1.6_Datasheet.pdf
Archer A54 ,V1.60,https://static.tp-link.com/upload/product-overview/2023/202305/20230510/Archer A54(US)1.0&1.6_Datasheet.pdf
Archer A8 ,V2.28,https://static.tp-link.com/2020/202010/20201014/Archer A8(EU&US)1.0_Datasheet.pdf
Archer AX3200 ,V1.80,
Archer AX90 ,V1.26,
Archer AC1900 ,V1.60,https://static.tp-link.com/upload/product-overview/2023/202304/20230414/Archer AC1900(USW) 1.6_Datasheet.pdf
Archer AX5400 Pro ,,https://static.tp-link.com/upload/product-overview/2022/202212/20221221/Archer AX5400 Pro(US)1.6_Datasheet.pdf
Archer AX80 ,V1.60,https://static.tp-link.com/upload/product-overview/2022/202208/20220805/Archer AX80(US)1.0_Datasheet.pdf
Archer AX75 ,V1.60,
Archer AX73 ,V2.6,https://static.tp-link.com/upload/product-overview/2022/202208/20220810/Archer AX73(EU&US)2.0_Datasheet.pdf
Archer AX20 ,V4.6,https://static.tp-link.com/upload/product-overview/2023/202304/20230411/Archer AX20(US)4.6_Datasheet.pdf
Archer AX55 Pro ,,https://static.tp-link.com/upload/product-overview/2022/202208/20220816/Archer AX55 Pro(EU&US)1.0_Datasheet.pdf
Archer AX72 Pro ,V1.60,https://static.tp-link.com/upload/product-overview/2023/202302/20230201/Archer AX72 Pro(EU&US)1.0_Datasheet.pdf
Archer C80 ,V2.26,https://static.tp-link.com/upload/product-overview/2022/202205/20220507/Archer C80(EU&US) 1.0 & 2.0 & 2.20_Datasheet.pdf
Archer AX1800 ,V4.6,https://static.tp-link.com/upload/product-overview/2023/202304/20230428/Archer AX1800(USW)4.6_Datasheet.pdf
Archer AX4400 ,V2.6,
