model_name,firmware_version,Datasheet download_link,Visited URL,firmware_details,download_link,source_url
RE220 ,V3.8,,https://www.tp-link.com//us/support/download/re220/#Firmware,RE220(US)_V3.8_1.0.23 Build 230418,,https://www.tp-link.com//us/support/download/re220/
RE815XE ,V1.60,https://static.tp-link.com/upload/product-overview/2023/202307/20230712/RE815XE(US) 1.0-Datasheet.pdf,https://www.tp-link.com//us/support/download/re815xe/#Firmware,RE815XE(US)_V1.6_1.0.6 Build 20230626,,https://www.tp-link.com//us/support/download/re815xe/
RE505X ,V1.80,https://static.tp-link.com/2020/202010/20201013/RE505X(US) 1.0 Datasheet.pdf,https://www.tp-link.com//us/support/download/re505x/#Firmware,RE505X(US)_V1.8_1.0.13 Build 20230926,https://static.tp-link.com/firmware/2021/202106/20210623/RE505X_V1_210511.zip,https://www.tp-link.com//us/support/download/re505x/
RE715X ,V1.80,,https://www.tp-link.com//us/support/download/re715x/#Firmware,RE715X(US)_V1.8_1.0.11 Build 20230721,,https://www.tp-link.com//us/support/download/re715x/
RE550 ,V1.80,,https://www.tp-link.com//us/support/download/re550/#Firmware,RE550(US)_V1.8_211110,,https://www.tp-link.com//us/support/download/re550/
RE700X ,V1.80,,https://www.tp-link.com//us/support/download/re700x/#Firmware,RE700X(US)_V1.8_1.1.7 Build 20230721,,https://www.tp-link.com//us/support/download/re700x/
RE500X ,,https://static.tp-link.com/2021/202103/20210326/RE500X(US) 1.0 Datasheet.pdf,https://www.tp-link.com//us/support/download/re500x/#Firmware,RE500X(US)_V1_210611,https://static.tp-link.com/firmware/2021/202106/20210624/RE500X_V1_210511.zip,https://www.tp-link.com//us/support/download/re500x/
RE315 ,V1.80,,https://www.tp-link.com//us/support/download/re315/#Firmware,RE315(US)_V1.8_1.0.30 Build 230919,,https://www.tp-link.com//us/support/download/re315/
RE603X ,,https://static.tp-link.com/2020/202010/20201013/RE603X(US) 1.0 Datasheet.pdf,https://www.tp-link.com//us/support/download/re603x/#Firmware,RE603X(US)_V1_210508,https://static.tp-link.com/firmware/2021/202106/20210623/RE603X(US)_V1_210508.zip,https://www.tp-link.com//us/support/download/re603x/
RE650 ,V2,https://static.tp-link.com/upload/product-overview/2022/202206/20220602/RE650(US)2.0 Datasheet.pdf,https://www.tp-link.com//us/support/download/re650/#Firmware,RE650(US)_V2_211130,,https://www.tp-link.com//us/support/download/re650/
RE815X ,V1.60,https://static.tp-link.com/upload/product-overview/2022/202211/20221101/RE815X(US) 1.0 Datasheet.pdf,https://www.tp-link.com//us/support/download/re815x/#Firmware,RE815X(US)_V1.6_1.0.0 Build 20230213,,https://www.tp-link.com//us/support/download/re815x/
RE105 ,V5.6,,https://www.tp-link.com//us/support/download/re105/#Firmware,RE105(US)_V5.6_1.0.12 Build 221109,,https://www.tp-link.com//us/support/download/re105/
RE600X ,V3.8,https://static.tp-link.com/upload/product-overview/2022/202208/20220822/RE600X(US) 3.8 Datasheet.pdf,https://www.tp-link.com//us/support/download/re600x/#Firmware,RE600X(US)_V3.8_1.0.9 Build 20221108,,https://www.tp-link.com//us/support/download/re600x/
RE615X ,,,https://www.tp-link.com//us/support/download/re615x/#Firmware,RE615X(US)_V1.6_1.0.11 Build 20230721,,https://www.tp-link.com//us/support/download/re615x/
RE605X ,V3.8,https://static.tp-link.com/upload/product-overview/2022/202208/20220822/RE605X(US) 3.0 Datasheet.pdf,https://www.tp-link.com//us/support/download/re605x/#Firmware,RE605X(US)_V3.8_1.0.10 Build 20230307,,https://www.tp-link.com//us/support/download/re605x/
RE705X ,V1.80,https://static.tp-link.com/upload/product-overview/2021/202110/20211008/RE705X(US) 1.0 Datasheet.pdf,https://www.tp-link.com//us/support/download/re705x/#Firmware,RE705X(US)_V1.8_1.0.11 Build 20230731,,https://www.tp-link.com//us/support/download/re705x/
RE330 ,V1.80,,https://www.tp-link.com//us/support/download/re330/#Firmware,RE330(US)_V1.8_1.0.23 Build 230418,,https://www.tp-link.com//us/support/download/re330/
RE450 ,V4.80,https://static.tp-link.com/2020/202009/20200916/RE450(US)4.0 Datasheet.pdf,https://www.tp-link.com//us/support/download/re450/#Firmware,RE450(US)_V4.8_1.0.20 Build 230213,,https://www.tp-link.com//us/support/download/re450/
RE215 ,V1.60,,https://www.tp-link.com//us/support/download/re215/#Firmware,RE215(US)_V1.6_1.0.23 Build 230418,,https://www.tp-link.com//us/support/download/re215/
RE350K ,,https://static.tp-link.com/res/down/doc/RE350K(US)1.0_Datasheet.pdf,https://www.tp-link.com//us/support/download/re350k/#Firmware,,,https://www.tp-link.com//us/support/download/re350k/
RE400 ,,,https://www.tp-link.com//us/support/download/re400/#Firmware,RE400(US)_V1_170111,,https://www.tp-link.com//us/support/download/re400/
RE500 ,,https://static.tp-link.com/RE500 1.0-datasheet.pdf,https://www.tp-link.com//us/support/download/re500/#Firmware,RE500(US)_V1_190521,,https://www.tp-link.com//us/support/download/re500/
RE300 ,V2.8,,https://www.tp-link.com//us/support/download/re300/#Firmware,RE300(US)_V2.8_1.0.13 Build 221216,,https://www.tp-link.com//us/support/download/re300/
RE355 ,,https://static.tp-link.com/res/down/doc/RE355(EU)1.0.pdf,https://www.tp-link.com//us/support/download/re355/#Firmware,RE355(US)_V1_180204,,https://www.tp-link.com//us/support/download/re355/
RE580D ,,https://static.tp-link.com/res/down/doc/RE580D_V1_Datasheet.pdf,https://www.tp-link.com//us/support/download/re580d/#Firmware,RE580D(UN)_V1_230523,,https://www.tp-link.com//us/support/download/re580d/
RE305 ,V4.80,,https://www.tp-link.com//us/support/download/re305/#Firmware,RE305(US)_V4.8_1.0.13 Build 221216,,https://www.tp-link.com//us/support/download/re305/
RE360 ,,https://static.tp-link.com/RE360(US)_V1_Datasheet.pdf,https://www.tp-link.com//us/support/download/re360/#Firmware,RE360(US)_V1_171226,,https://www.tp-link.com//us/support/download/re360/
RE230 ,V2.8,,https://www.tp-link.com//us/support/download/re230/#Firmware,RE230(US)_V2.8_1.0.23 Build 230418,,https://www.tp-link.com//us/support/download/re230/
RE380D ,,https://static.tp-link.com/res/down/doc/RE380D(EU)1.0_Datasheet.pdf,https://www.tp-link.com//us/support/download/re380d/#Firmware,RE380D(US)_V1_171201,,https://www.tp-link.com//us/support/download/re380d/
RE205 ,V4.80,,https://www.tp-link.com//us/support/download/re205/#Firmware,RE205(US)_V4.8_1.0.23 Build 230418,,https://www.tp-link.com//us/support/download/re205/
TL-WA855RE ,V5,https://static.tp-link.com/2020/202004/20200420/TL-WA855RE(US) 5.0 Datasheet.pdf,https://www.tp-link.com//us/support/download/tl-wa855re/#Firmware,TL-WA855RE(US)_V5_211125,,https://www.tp-link.com//us/support/download/tl-wa855re/
TL-WA750RE ,,https://static.tp-link.com/resources/document/TL-WA750RE_V1_Datasheet.pdf,https://www.tp-link.com//us/support/download/tl-wa750re/#Firmware,TL-WA750RE_V1_140401,,https://www.tp-link.com//us/support/download/tl-wa750re/
RE210 ,,https://static.tp-link.com/RE210(US)_V1_Datasheet.pdf,https://www.tp-link.com//us/support/download/re210/#Firmware,RE210(US)_V1_171205,,https://www.tp-link.com//us/support/download/re210/
RE350 ,,https://static.tp-link.com/res/down/doc/RE350(EU)1.0_Datasheet.pdf,https://www.tp-link.com//us/support/download/re350/#Firmware,RE350(US)_V1_190516,,https://www.tp-link.com//us/support/download/re350/
TL-WA860RE ,V5,https://static.tp-link.com/2018/201803/20180308/TL-WA860RE(US) 4.0&5.0-datasheet.pdf,https://www.tp-link.com//us/support/download/tl-wa860re/#Firmware,TL-WA860RE(US)_V5_200923,,https://www.tp-link.com//us/support/download/tl-wa860re/
RE200 ,V5.80,,https://www.tp-link.com//us/support/download/re200/#Firmware,RE200(US)_V5.8_1.0.23 Build 230418,,https://www.tp-link.com//us/support/download/re200/
TL-WA850RE ,V7,https://static.tp-link.com/2021/202105/20210526/TL-WA850RE(US) 7.0 Datasheet.pdf,https://www.tp-link.com//us/support/download/tl-wa850re/#Firmware,TL-WA850RE(US)_V7_200923,,https://www.tp-link.com//us/support/download/tl-wa850re/
TL-WA830RE ,V3,https://static.tp-link.com/res/down/doc/TL-WA830RE(UN)_3.0.pdf,https://www.tp-link.com//us/support/download/tl-wa830re/#Firmware,TL-WA830RE_V3_151201,,https://www.tp-link.com//us/support/download/tl-wa830re/
TL-WA854RE ,V2,https://static.tp-link.com/res/down/doc/TL-WA854RE(EU)2.01030.pdf,https://www.tp-link.com//us/support/download/tl-wa854re/#Firmware,,,https://www.tp-link.com//us/support/download/tl-wa854re/
TL-WA730RE ,V2,https://static.tp-link.com/resources/document/TL-WA730RE_V2.0_Datasheet.zip,https://www.tp-link.com//us/support/download/tl-wa730re/#Firmware,TL-WA730RE_V2_130510,,https://www.tp-link.com//us/support/download/tl-wa730re/
