model_name,firmware_version,Datasheet download_link,Visited URL,firmware_details,download_link,source_url
Archer BE900 ,V1.60,https://static.tp-link.com/upload/product-overview/2023/202304/20230421/Archer BE900(EU)&(US)1.0_Datasheet.pdf,https://www.tp-link.com//us/support/download/archer-be900/#Firmware,Archer BE900(US)_V1.6_1.1.2 Build 20230727,https://static.tp-link.com/upload/firmware/2023/202308/20230825/Archer BE900(US)_V1_230727.zip,https://www.tp-link.com//us/support/download/archer-be900/
Archer AXE5400 ,V1.60,https://static.tp-link.com/upload/product-overview/2023/202305/20230508/Archer AXE5400(USW)1.0&1.6_Datasheet.pdf,https://www.tp-link.com//us/support/download/archer-axe5400/#Firmware,Archer AXE5400(USW)_V1.6_231115,https://static.tp-link.com/upload/firmware/2023/202312/20231212/Archer AXE5400(USW)_V1_231115.zip,https://www.tp-link.com//us/support/download/archer-axe5400/
Archer BE9300 ,,https://static.tp-link.com/upload/product-overview/2023/202307/20230726/Archer BE9300 1.6_Datasheet.pdf,https://www.tp-link.com//us/support/download/archer-be9300/#Firmware,Archer BE9300(USW)_V1.6_1.0.4 Build 20231020,https://static.tp-link.com/upload/firmware/2023/202311/20231109/Archer BE9300(USW)_V1_231020.zip,https://www.tp-link.com//us/support/download/archer-be9300/
Archer AXE75 ,V1.60,https://static.tp-link.com/upload/product-overview/2022/202201/20220121/Archer AXE75(EU&US)1.0_Datasheet.pdf,https://www.tp-link.com//us/support/download/archer-axe75/#Firmware,Archer AXE75(US)_V1.6_231115,https://static.tp-link.com/upload/firmware/2023/202312/20231212/Archer AXE75_V1_231115.zip,https://www.tp-link.com//us/support/download/archer-axe75/
Archer AX55 ,V4.6,https://static.tp-link.com/upload/product-overview/2023/202309/20230920/Archer AX55 4.0_Datasheet.pdf,https://www.tp-link.com//us/support/download/archer-ax55/#Firmware,,,https://www.tp-link.com//us/support/download/archer-ax55/
Archer AXE300 ,V1.60,https://static.tp-link.com/upload/product-overview/2022/202208/20220826/Archer AXE300(EU)&(US)1.0_Datasheet.pdf,https://www.tp-link.com//us/support/download/archer-axe300/#Firmware,Archer AXE300(US)_V1.6_1.0.9 Build 20230525,https://static.tp-link.com/upload/firmware/2023/202306/20230608/Archer AXE300(US)_V1_230525.zip,https://www.tp-link.com//us/support/download/archer-axe300/
Archer AXE95 ,V1.60,,https://www.tp-link.com//us/support/download/archer-axe95/#Firmware,Archer AXE95(US)_V1.6_1.1.4 Build 20231027,https://static.tp-link.com/upload/firmware/2023/202311/20231122/Archer AXE95(US)_V1_231027.zip,https://www.tp-link.com//us/support/download/archer-axe95/
Archer BE800 ,V1.60,https://static.tp-link.com/upload/product-overview/2023/202305/20230504/Archer BE800(EU)&(US)1.0_Datasheet.pdf,https://www.tp-link.com//us/support/download/archer-be800/#Firmware,Archer BE800(US)_V1.6_1.0.9 Build 20230914,https://static.tp-link.com/upload/firmware/2023/202310/20231007/Archer BE800(US)_V1_230914.zip,https://www.tp-link.com//us/support/download/archer-be800/
Archer BE550 ,V1.60,https://static.tp-link.com/upload/product-overview/2023/202307/20230703/Archer BE550 1.0_Datasheet.pdf,https://www.tp-link.com//us/support/download/archer-be550/#Firmware,Archer BE550(US)_V1.6_1.0.4 Build 20231020,https://static.tp-link.com/upload/firmware/2023/202311/20231103/Archer BE550(US)_V1_231020.zip,https://www.tp-link.com//us/support/download/archer-be550/
Archer AX10000 ,V2.6,https://static.tp-link.com/upload/product-overview/2023/202305/20230512/Archer AX10000(US) 2.6_Datasheet.pdf,https://www.tp-link.com//us/support/download/archer-ax10000/#Firmware,Archer AX10000(US)_V2.6_2.1.6 Build 20230907,https://static.tp-link.com/upload/firmware/2023/202309/20230925/Archer AX10000(US)_V2_230907.zip,https://www.tp-link.com//us/support/download/archer-ax10000/
