model_name,firmware_version,Datasheet download_link,Visited URL,firmware_details,download_link,source_url
Tapo C425 + Tapo A200 ,,,https://www.tp-link.com//us/support/download/tapo-c425-%252b-tapo-a200/#Firmware-Release-Notes,,,https://www.tp-link.com//us/support/download/tapo-c425-%252b-tapo-a200/
Tapo C325WB ,V1.60,https://static.tp-link.com/upload/product-overview/2023/202304/20230426/Tapo C325WB_Datasheet.pdf,https://www.tp-link.com//us/support/download/tapo-c325wb/#Firmware-Release-Notes,Tapo C325WB(US)_V1.6_1.0.10 Build 230928,,https://www.tp-link.com//us/support/download/tapo-c325wb/
Tapo C120 ,V1.60,https://static.tp-link.com/upload/product-overview/2023/202310/20231018/Tapo C120 1.0_Datasheet.pdf,https://www.tp-link.com//us/support/download/tapo-c120/#Firmware-Release-Notes,Tapo C120(US)_V1.6_1.1.7 Build 231107,,https://www.tp-link.com//us/support/download/tapo-c120/
Tapo C125 ,V1.60,https://static.tp-link.com/upload/product-overview/2023/202309/20230921/Tapo C125 1.0&1.6_Datasheet.pdf,https://www.tp-link.com//us/support/download/tapo-c125/#Firmware-Release-Notes,Tapo C125(US)_V1.6_1.1.4 Build 231110,,https://www.tp-link.com//us/support/download/tapo-c125/
TC73 ,,https://static.tp-link.com/upload/product-overview/2023/202309/20230921/TC73 2.6_Datasheet.pdf,https://www.tp-link.com//us/support/download/tc73/#Firmware-Release-Notes,TC73(US)_V2.6_1.0.5 Build 230924,,https://www.tp-link.com//us/support/download/tc73/
Tapo C500 ,V1.60,,https://www.tp-link.com//us/support/download/tapo-c500/#Firmware-Release-Notes,Tapo C500(US)_V1.6_1.1.2 Build 231107,,https://www.tp-link.com//us/support/download/tapo-c500/
TC85 ,V1.60,https://static.tp-link.com/upload/product-overview/2023/202309/20230906/Tapo C425&TC85 1.0&1.6_Datasheet.pdf,https://www.tp-link.com//us/support/download/tc85/#Firmware-Release-Notes,TC85(US)_V1.6_1.2.13 Build 230925,,https://www.tp-link.com//us/support/download/tc85/
Tapo C420S1 ,V1.80,,https://www.tp-link.com//us/support/download/tapo-c420s1/#Firmware-Release-Notes,,,https://www.tp-link.com//us/support/download/tapo-c420s1/
Tapo C520WS ,V1.60,https://static.tp-link.com/upload/product-overview/2023/202307/20230731/Tapo C520WS 1.0_Datasheet-0731.pdf,https://www.tp-link.com//us/support/download/tapo-c520ws/#Firmware-Release-Notes,Tapo C520WS(US)_V1.6_1.2.5 Build 231109,,https://www.tp-link.com//us/support/download/tapo-c520ws/
Tapo C420S2 ,V1.60,https://static.tp-link.com/upload/product-overview/2023/202312/20231215/Tapo C420S2 1.0&1.8_Datasheet.pdf,https://www.tp-link.com//us/support/download/tapo-c420s2/#Firmware-Release-Notes,Tapo C420(US)_V1.6_1.2.14 Build 20230829,,https://www.tp-link.com//us/support/download/tapo-c420s2/
Tapo C211 ,,https://static.tp-link.com/upload/product-overview/2023/202308/20230818/Tapo C211 2.0_Datasheet.pdf,https://www.tp-link.com//us/support/download/tapo-c211/#Firmware-Release-Notes,Tapo C211(US)_V2.6_1.3.11 Build 231115,,https://www.tp-link.com//us/support/download/tapo-c211/
Tapo C111 ,,,https://www.tp-link.com//us/support/download/tapo-c111/#Firmware-Release-Notes,Tapo C111(US)_V2.6_1.3.11 Build 231116,,https://www.tp-link.com//us/support/download/tapo-c111/
Tapo C510W ,,https://static.tp-link.com/upload/product-overview/2023/202304/20230426/Tapo C510W_Datasheet.pdf,https://www.tp-link.com//us/support/download/tapo-c510w/#Firmware-Release-Notes,Tapo C510W(US)_V1_1.0.9 Build 230907,,https://www.tp-link.com//us/support/download/tapo-c510w/
Tapo C425 ,V1.60,https://static.tp-link.com/upload/product-overview/2023/202309/20230906/Tapo C425&TC85 1.0&1.6_Datasheet.pdf,https://www.tp-link.com//us/support/download/tapo-c425/#Firmware-Release-Notes,Tapo C425(US)_V1.6_1.2.13 Build 230925,,https://www.tp-link.com//us/support/download/tapo-c425/
Tapo C210 ,V2.26,https://static.tp-link.com/upload/product-overview/2023/202310/20231012/Tapo C210(US)2.20_Datasheet_V1.pdf,https://www.tp-link.com//us/support/download/tapo-c210/#Firmware-Release-Notes,Tapo C210(US)_V2.26_1.3.7 Build 230823,,https://www.tp-link.com//us/support/download/tapo-c210/
Tapo C200 ,V3.26,https://static.tp-link.com/upload/product-overview/2023/202311/20231116/Tapo C200_V3.20_Datasheet.pdf,https://www.tp-link.com//us/support/download/tapo-c200/#Firmware-Release-Notes,,,https://www.tp-link.com//us/support/download/tapo-c200/
KC310S2 ,,,https://www.tp-link.com//us/support/download/kc310s2/#Firmware-Release-Notes,,,https://www.tp-link.com//us/support/download/kc310s2/
Tapo C400S2 ,V1.60,https://static.tp-link.com/upload/product-overview/2023/202312/20231215/Tapo C400S2 1.0&1.8_Datasheet.pdf,https://www.tp-link.com//us/support/download/tapo-c400s2/#Firmware-Release-Notes,Tapo C400(US)_V1.6_1.0.12 Build 20230330,,https://www.tp-link.com//us/support/download/tapo-c400s2/
Tapo A200 ,,https://static.tp-link.com/upload/product-overview/2023/202304/20230407/Tapo A200(UN)1.0_Datasheet.pdf,https://www.tp-link.com//us/support/download/tapo-a200/#Firmware-Release-Notes,,,https://www.tp-link.com//us/support/download/tapo-a200/
Tapo A100 ,,https://static.tp-link.com/upload/product-overview/2023/202304/20230426/Tapo A100(UN)1.0_Datasheet.pdf,https://www.tp-link.com//us/support/download/tapo-a100/#Firmware-Release-Notes,,,https://www.tp-link.com//us/support/download/tapo-a100/
