software_version,download_link,Visited URL
4G03 Pro v1.0 Firmware  v04.03.01.14,https://down.tendacn.com/uploadfile/4G03 Pro/4G03Prov1.0 Firmware V04.03.01.14.zip,https://www.tendacn.com/download/detail-4934.html
4G05v1.0 Firmware  V04.05.01.02,https://down.tendacn.com/uploadfile/4G05/4G05v1.0 Firmware V04.05.01.02.zip,https://www.tendacn.com/download/detail-4933.html
4G07v2.0 Firmware  V04.07.01.06,https://down.tendacn.com/uploadfile/4G07/4G07v2.0.zip,https://www.tendacn.com/download/detail-4966.html
TX9v1.0 Firmware  V22.03.02.54,https://down.tendacn.com/uploadfile/TX9/TX9v1.0 Firmware V22.03.02.54.zip,https://www.tendacn.com/download/detail-4938.html
4G03v3.0 Firmware  V04.03.01.08,https://down.tendacn.com/uploadfile/4G03/4G03v3.0.zip,https://www.tendacn.com/download/detail-4965.html
5G03v1.0 Firmware  V05.03.01.12,https://down.tendacn.com/uploadfile/5G03/5G03v1.0 Firmware V05.01.03.12.zip,https://www.tendacn.com/download/detail-4939.html
4G09v2.0 Firmware  V04.09.01.02,https://down.tendacn.com/uploadfile/4G09/4G09v2.0.zip,https://www.tendacn.com/download/detail-4967.html
i29v1.0 Firmware  V1.0.0.5,https://down.tendacn.com/uploadfile/i29/i29V1.0 Firmware V1.0.0.5.zip,https://www.tendacn.com/download/detail-4916.html
,,https://www.tendacn.com/download/detail-4905.html
i27v1.1 Firmware  V1.0.0.3(1402),https://down.tendacn.com/uploadfile/i27/i27V1.1 Firmware V1.0.0.3.zip,https://www.tendacn.com/download/detail-4917.html
N6P-8H Firmware  V12.1.5.16,https://down.tendacn.com/uploadfile/N6P-8H/N6P-8H Firmware.zip,https://www.tendacn.com/download/detail-4890.html
N6P-16H Firmware  V12.1.5.16,https://down.tendacn.com/uploadfile/N6P-16H/N6P-16H Firmware.zip,https://www.tendacn.com/download/detail-4891.html
i24 Firmware  V2.0.0.7(10489),https://down.tendacn.com/uploadfile/i24/i24V2.0 Firmware V2.0.0.7.zip,https://www.tendacn.com/download/detail-4910.html
AC10v3.0 Firmware  V03.03.16.09,https://down.tendacn.com/uploadfile/AC10/AC10v3.0 Firmware V03.03.16.09.zip,https://www.tendacn.com/download/detail-4968.html
i24v2.0 Firmware  V2.0.0.6,https://down.tendacn.com/uploadfile/i24/i24V2.0 Firmware V2.0.0.6.zip,https://www.tendacn.com/download/detail-5070.html
